id,关卡名称,关卡难度,关卡描述,关卡谜题类型,谜题参数,关卡房间数,房间链接关系,角色数和性别关系,时间点数,19:00,19:10,19:20,19:30,19:40,19:50
case_011,011 简单·玫瑰请柬同行者,easy,玫瑰请柬后，有一名宾客整晚都没有真正落单。请找出这位始终与别人同房的人。,alwaysTogether,"[[""questions"",13],[""goal"",""谁在所有时间点都始终与别人待在同一房间""],[""smartExpected"",7.4],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N1"",""N2"",""N3"",""N1"",""N2"",""N3""]",[],[],[],[],[]
case_012,012 简单·镜厅余影同行者,easy,镜厅余影后，有一名宾客整晚都没有真正落单。请找出这位始终与别人同房的人。,alwaysTogether,"[[""questions"",13],[""goal"",""谁在所有时间点都始终与别人待在同一房间""],[""smartExpected"",7.4],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N4"",""N4"",""N5"",""N5"",""N6"",""N6""]",[],[],[],[],[]
case_013,013 简单·香槟塔旁同行者,easy,香槟塔旁后，有一名宾客整晚都没有真正落单。请找出这位始终与别人同房的人。,alwaysTogether,"[[""questions"",13],[""goal"",""谁在所有时间点都始终与别人待在同一房间""],[""smartExpected"",7.4],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N4"",""N4"",""N5"",""N5"",""N6"",""N6""]",[],[],[],[],[]
case_014,014 简单·甜点失踪同行者,easy,甜点失踪后，有一名宾客整晚都没有真正落单。请找出这位始终与别人同房的人。,alwaysTogether,"[[""questions"",13],[""goal"",""谁在所有时间点都始终与别人待在同一房间""],[""smartExpected"",7.4],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N4"",""N4"",""N5"",""N5"",""N6"",""N6""]",[],[],[],[],[]
case_015,015 简单·午夜回廊同行者,easy,午夜回廊后，有一名宾客整晚都没有真正落单。请找出这位始终与别人同房的人。,alwaysTogether,"[[""questions"",13],[""goal"",""谁在所有时间点都始终与别人待在同一房间""],[""smartExpected"",7.4],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N4"",""N4"",""N5"",""N5"",""N6"",""N6""]",[],[],[],[],[]
case_016,016 简单·钟声之后破坏狂,easy,钟声之后后，有人四处破坏。罪犯是唯一一个正好到访过 5 个地点的人。,visitCount,"[[""questions"",13],[""goal"",""罪犯是谁，他到过哪个房间 2 次，第二次到达该房间的时间是什么""],[""smartExpected"",7.7],[""minCandidates"",4],[""uniqueCount"",5],[""repeatedCount"",2]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N3"",""N6"",""N3"",""N3"",""N4"",""N3""]",[],[],[],[],[]
case_017,017 简单·烛光证人破坏狂,easy,烛光证人后，有人四处破坏。罪犯是唯一一个正好到访过 5 个地点的人。,visitCount,"[[""questions"",13],[""goal"",""罪犯是谁，他到过哪个房间 2 次，第二次到达该房间的时间是什么""],[""smartExpected"",7.7],[""minCandidates"",4],[""uniqueCount"",5],[""repeatedCount"",2]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N3"",""N4"",""N5"",""N4"",""N2"",""N4""]",[],[],[],[],[]
case_018,018 简单·蓝丝带破坏狂,easy,蓝丝带后，有人四处破坏。罪犯是唯一一个正好到访过 5 个地点的人。,visitCount,"[[""questions"",13],[""goal"",""罪犯是谁，他到过哪个房间 2 次，第二次到达该房间的时间是什么""],[""smartExpected"",7.7],[""minCandidates"",4],[""uniqueCount"",5],[""repeatedCount"",2]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N4"",""N6"",""N4"",""N1"",""N2"",""N1""]",[],[],[],[],[]
case_019,019 简单·手套线索破坏狂,easy,手套线索后，有人四处破坏。罪犯是唯一一个正好到访过 5 个地点的人。,visitCount,"[[""questions"",13],[""goal"",""罪犯是谁，他到过哪个房间 2 次，第二次到达该房间的时间是什么""],[""smartExpected"",7.7],[""minCandidates"",4],[""uniqueCount"",5],[""repeatedCount"",2]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N1"",""N4"",""N1"",""N4"",""N2"",""N1""]",[],[],[],[],[]
case_020,020 简单·银匙疑云珠宝大盗,easy,银匙疑云里，珠宝被藏进一间空房。第一个进入者会拿走珠宝，独处相遇时珠宝会转移。,jewelTransfer,"[[""questions"",13],[""goal"",""19:50 时珠宝在谁身上以及这个人所在地点""],[""smartExpected"",8],[""minCandidates"",4],[""jewelRoom"",""N6""]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N3"",""N3"",""N5"",""N1"",""N1"",""N2""]",[],[],[],[],[]
case_021,021 简单·绒盒秘密珠宝大盗,easy,绒盒秘密里，珠宝被藏进一间空房。第一个进入者会拿走珠宝，独处相遇时珠宝会转移。,jewelTransfer,"[[""questions"",13],[""goal"",""19:50 时珠宝在谁身上以及这个人所在地点""],[""smartExpected"",8],[""minCandidates"",4],[""jewelRoom"",""N4""]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N3"",""N3"",""N3"",""N1"",""N3"",""N5""]",[],[],[],[],[]
case_022,022 简单·玫瑰请柬珠宝大盗,easy,玫瑰请柬里，珠宝被藏进一间空房。第一个进入者会拿走珠宝，独处相遇时珠宝会转移。,jewelTransfer,"[[""questions"",13],[""goal"",""19:50 时珠宝在谁身上以及这个人所在地点""],[""smartExpected"",8],[""minCandidates"",4],[""jewelRoom"",""N5""]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N6"",""N2"",""N4"",""N4"",""N1"",""N4""]",[],[],[],[],[]
case_023,023 简单·镜厅余影珠宝大盗,easy,镜厅余影里，珠宝被藏进一间空房。第一个进入者会拿走珠宝，独处相遇时珠宝会转移。,jewelTransfer,"[[""questions"",13],[""goal"",""19:50 时珠宝在谁身上以及这个人所在地点""],[""smartExpected"",8],[""minCandidates"",4],[""jewelRoom"",""N3""]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N1"",""N6"",""N1"",""N6"",""N6"",""N6""]",[],[],[],[],[]
case_024,024 简单·香槟塔旁珠宝大盗,easy,香槟塔旁里，珠宝被藏进一间空房。第一个进入者会拿走珠宝，独处相遇时珠宝会转移。,jewelTransfer,"[[""questions"",13],[""goal"",""19:50 时珠宝在谁身上以及这个人所在地点""],[""smartExpected"",8],[""minCandidates"",4],[""jewelRoom"",""N4""]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N3"",""N2"",""N1"",""N6"",""N6"",""N1""]",[],[],[],[],[]
case_025,025 简单·蓝丝带诅咒恋人,easy,蓝丝带流传着一段传闻：有一对男女整晚都没能在同一房间相遇。,neverMeetPair,"[[""questions"",14],[""goal"",""哪一男一女从未在同一时间出现在同一地点""],[""smartExpected"",8.3],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N1"",""N1"",""N5"",""N1"",""N5"",""N5""]",[],[],[],[],[]
case_026,026 简单·手套线索诅咒恋人,easy,手套线索流传着一段传闻：有一对男女整晚都没能在同一房间相遇。,neverMeetPair,"[[""questions"",14],[""goal"",""哪一男一女从未在同一时间出现在同一地点""],[""smartExpected"",8.3],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N1"",""N2"",""N3"",""N1"",""N2"",""N3""]",[],[],[],[],[]
case_027,027 简单·空杯证词诅咒恋人,easy,空杯证词流传着一段传闻：有一对男女整晚都没能在同一房间相遇。,neverMeetPair,"[[""questions"",14],[""goal"",""哪一男一女从未在同一时间出现在同一地点""],[""smartExpected"",8.3],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N1"",""N2"",""N3"",""N1"",""N2"",""N3""]",[],[],[],[],[]
case_028,028 简单·雨夜晚宴诅咒恋人,easy,雨夜晚宴流传着一段传闻：有一对男女整晚都没能在同一房间相遇。,neverMeetPair,"[[""questions"",14],[""goal"",""哪一男一女从未在同一时间出现在同一地点""],[""smartExpected"",8.3],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N4"",""N5"",""N6"",""N6"",""N4"",""N5""]",[],[],[],[],[]
case_029,029 简单·银匙疑云诅咒恋人,easy,银匙疑云流传着一段传闻：有一对男女整晚都没能在同一房间相遇。,neverMeetPair,"[[""questions"",14],[""goal"",""哪一男一女从未在同一时间出现在同一地点""],[""smartExpected"",8.3],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N1"",""N2"",""N3"",""N1"",""N2"",""N3""]",[],[],[],[],[]
case_030,030 简单·空杯证词合谋爆炸案,easy,空杯证词的最后一刻发生爆炸。安装炸弹的是一男一女，且只有他俩单独在场时才能安装。,bomb,"[[""questions"",14],[""goal"",""爆炸地点是什么，谁被炸死，安装炸弹的人是谁""],[""smartExpected"",9],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N1"",""N2"",""N3"",""N4"",""N5"",""N6""]",[],[],[],[],[]
case_031,031 简单·雨夜晚宴合谋爆炸案,easy,雨夜晚宴的最后一刻发生爆炸。安装炸弹的是一男一女，且只有他俩单独在场时才能安装。,bomb,"[[""questions"",14],[""goal"",""爆炸地点是什么，谁被炸死，安装炸弹的人是谁""],[""smartExpected"",9],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N1"",""N2"",""N3"",""N4"",""N5"",""N6""]",[],[],[],[],[]
case_032,032 简单·银匙疑云合谋爆炸案,easy,银匙疑云的最后一刻发生爆炸。安装炸弹的是一男一女，且只有他俩单独在场时才能安装。,bomb,"[[""questions"",14],[""goal"",""爆炸地点是什么，谁被炸死，安装炸弹的人是谁""],[""smartExpected"",9],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N1"",""N2"",""N3"",""N4"",""N5"",""N6""]",[],[],[],[],[]
case_033,033 简单·绒盒秘密合谋爆炸案,easy,绒盒秘密的最后一刻发生爆炸。安装炸弹的是一男一女，且只有他俩单独在场时才能安装。,bomb,"[[""questions"",14],[""goal"",""爆炸地点是什么，谁被炸死，安装炸弹的人是谁""],[""smartExpected"",9],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N1"",""N1"",""N2"",""N4"",""N4"",""N6""]",[],[],[],[],[]
case_034,034 简单·玫瑰请柬合谋爆炸案,easy,玫瑰请柬的最后一刻发生爆炸。安装炸弹的是一男一女，且只有他俩单独在场时才能安装。,bomb,"[[""questions"",14],[""goal"",""爆炸地点是什么，谁被炸死，安装炸弹的人是谁""],[""smartExpected"",9],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N2"",""N3"",""N2"",""N5"",""N6"",""N5""]",[],[],[],[],[]
case_035,035 普通·蓝丝带失窃案,medium,蓝丝带中，C 发现重要物品不见了。只有单独与 C 共处一室的人才有机会下手。,theft,"[[""questions"",12],[""goal"",""是谁在哪个时间哪个地点偷窃了 C""],[""smartExpected"",8],[""minCandidates"",8],[""targetActor"",""C""]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N1"",""N3"",""N3"",""N1"",""N5"",""N3""]",[],[],[],[],[]
case_036,036 普通·手套线索失窃案,medium,手套线索中，C 发现重要物品不见了。只有单独与 C 共处一室的人才有机会下手。,theft,"[[""questions"",12],[""goal"",""是谁在哪个时间哪个地点偷窃了 C""],[""smartExpected"",8],[""minCandidates"",8],[""targetActor"",""C""]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N1"",""N2"",""N1"",""N4"",""N1"",""N4""]",[],[],[],[],[]
